"id","word_count","total_attchments","total_images","total_videos","role","time_of_day","total_mentions","total_likes"
226489,1,0,0,0,"46511b13d30dc8d4","morning",0,0
226488,1,0,0,0,"46511b13d30dc8d4","morning",0,0
226460,4,0,0,0,"admin","afternoon",0,0
226457,2,0,1,0,"admin","afternoon",0,0
226441,3,0,1,0,"admin","afternoon",0,0
226437,6,0,1,0,"enterprise_admin","morning",0,1
226435,2,1,0,0,"enterprise_admin","morning",0,1
226433,2,1,0,0,"enterprise_admin","morning",0,1
226430,2,0,1,0,"enterprise_admin","morning",0,2
226428,2,0,0,0,"enterprise_admin","morning",0,3
226417,2,0,0,0,"admin","afternoon",0,0
226406,2,0,0,0,"admin","afternoon",0,0
226395,1,0,0,0,"admin","morning",0,0
226391,4,0,0,0,"enterprise_admin","afternoon",0,1
226386,4,0,0,0,"admin","afternoon",0,0
226381,6,0,0,0,"admin","morning",1,0
226376,2,0,0,0,"admin","morning",0,2
226369,5,0,0,0,"admin","morning",1,0
226359,4,0,0,0,"admin","morning",1,0
226270,8,0,0,0,"admin","morning",5,0
226264,271,0,0,0,"admin","morning",0,0
226262,1,0,0,0,"enterprise_admin","morning",0,0
226223,1,0,0,0,"admin","morning",0,0
226214,3,0,1,0,"admin","morning",0,2
226191,1,0,0,0,"admin","morning",0,0
226187,1,0,0,0,"enterprise_admin","morning",0,1
226175,6,1,1,0,"admin","afternoon",0,1
226168,5,0,0,0,"admin","afternoon",0,0
226128,1,0,0,0,"enterprise_admin","morning",0,0
226127,1,0,0,0,"enterprise_admin","morning",0,0
226124,1,0,0,0,"enterprise_admin","afternoon",0,1
226123,1,0,0,0,"enterprise_admin","afternoon",0,0
226107,1,0,0,0,"enterprise_admin","morning",0,4
226106,3,0,0,0,"enterprise_admin","morning",0,5
226105,1,0,0,0,"admin","morning",0,0
226103,2,0,0,0,"4815c8ef2b08113c","afternoon",0,0
226102,3,0,0,0,"enterprise_admin","afternoon",0,0
226101,2,0,0,0,"enterprise_admin","afternoon",0,0
226100,4,0,0,0,"enterprise_admin","afternoon",0,1
226098,32,0,0,0,"admin","morning",0,1
226088,1,0,0,0,"4815c8ef2b08113c","morning",0,0
226087,1,0,0,0,"4815c8ef2b08113c","morning",0,0
226082,7,0,0,0,"admin","morning",0,0
226081,5,0,0,0,"admin","morning",0,0
226079,1,0,0,0,"admin","afternoon",0,0
226070,1,0,0,0,"enterprise_admin","afternoon",0,0
226053,7,0,0,0,"admin","afternoon",0,2
226047,91,0,0,0,"enterprise_admin","morning",0,0
226046,1,0,0,0,"admin","morning",0,0
